id,college_name,city,state,created_at,updated_at,email_url
117,University of Georgia,Athens,GA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,uga.edu
118,University of Kentucky,Lexington,KY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,uky.edu
119,University of Louisiana - Lafayette,Lafayette,LA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,louisiana.edu
120,University of Louisiana - Monroe,Monroe,LA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ulm.edu
121,University of Louisville,Louisville,KY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,louisville.edu
122,University of Maine,Orono,ME,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,umaine.edu
123,University of Massachusetts - Boston,Boston,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,umb.edu
124,University of Massachusetts - Dartmouth,North Dartmouth,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,umassd.edu
125,University of Massachusetts - Lowell,Lowell,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,uml.edu
126,University of Massachusetts Amherst,Amherst,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,umass.edu
127,University of Miami,Coral Gables,FL,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,miami.edu
128,University of Michigan - Ann Arbor,Ann Arbor,MI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,umich.edu
129,University of Notre Dame,Notre Dame,IN,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,nd.edu
130,University of Oklahoma,Norman,OK,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ou.edu
131,University of Oregon,Eugene,OR,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,uoregon.edu
132,University of Pennsylvania,Philadelphia,PA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,upenn.edu
133,University of Rhode Island,Kingston,RI,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,uri.edu
134,Vanderbilt University,Nashville,TN,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,vanderbilt.edu
135,Vassar College,Poughkeepsie,NY,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,vassar.edu
136,Williams College,Williamstown,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,williams.edu
137,Worcester Polytechnic Institute,Worcester,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,wpi.edu
138,Worcester State University,Worcester,MA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,worcester.edu
139,Yale University,New Haven,CT,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,yale.edu
